21:07:11.267 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/collectionfromleg],methods=[POST],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.createCollectionFromLeg(org.springframework.web.multipart.MultipartFile)
21:07:11.267 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/export/processed],methods=[POST],produces=[application/json;charset=UTF-8]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.exportPackageProcessed(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,int)
21:07:11.268 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/renditionfromleg],methods=[POST],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getPdfFromLegFile(org.springframework.web.multipart.MultipartFile,java.lang.String)
21:07:11.268 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/searchlegfile/{legFileId}],methods=[GET],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getLegFile_compatibility(java.lang.String)
21:07:11.268 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/cloneProposal],methods=[POST],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.cloneProposalFromLeg(org.springframework.web.multipart.MultipartFile,java.lang.String,java.lang.String,java.lang.String)
21:07:11.269 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/search/{userId}],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getProposalsForUser(java.lang.String)
21:07:11.269 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/compare],methods=[POST],produces=[application/json;charset=UTF-8]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.compareContents(javax.servlet.http.HttpServletRequest,int,org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.MultipartFile)
21:07:11.269 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/searchlegfile/{legFileId}],methods=[GET],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getLegFile(java.lang.String)
21:07:11.270 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/export/{proposalRef}/{exportPackageId}],methods=[GET],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getExportPackage(java.lang.String,java.lang.String)
21:07:11.374 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Thu Mar 17 21:07:11 GMT+02:00 2022]; parent: Root WebApplicationContext
21:07:11.431 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Thu Mar 17 21:07:11 GMT+02:00 2022]; parent: Root WebApplicationContext
21:07:11.503 leos [main] [] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
21:07:11.562 leos [main] [] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcher': initialization completed in 471 ms
21:07:45.668 leos [qtp1819665340-48] [] WARN  c.v.s.DefaultDeploymentConfiguration - 
=================================================================
Vaadin is running in DEBUG MODE.
Add productionMode=true to web.xml to disable debug features.
To show debug window, add ?debug to your application URL.
=================================================================
21:07:45.725 leos [qtp1819665340-48] [] INFO  e.e.e.l.w.s.v.LeosSpringVaadinServlet - LEOS servlet is initialized!
21:07:46.081 leos [qtp1819665340-48] [] INFO  e.e.e.l.w.s.LeosSessionListener - Creating http session
21:07:46.139 leos [qtp1819665340-48] [] INFO  c.v.spring.server.SpringUIProvider - Unable to create the directory [null] for caching of themes compiled on the fly
21:07:46.476 leos [qtp1819665340-55] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [EventBus{default}] with name [eventBus] in [UIBeanStore[id=5680b90e, name=UI:0]]
21:07:46.579 leos [qtp1819665340-55] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.web.support.vaadin.NotificationManager@5ce73c7c] with name [notificationManager] in [UIBeanStore[id=5680b90e, name=UI:0]]
21:07:46.584 leos [qtp1819665340-55] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.web.support.vaadin.DeadEventHandler@2d6723bc] with name [deadEventHandler] in [UIBeanStore[id=5680b90e, name=UI:0]]
21:07:47.812 leos [qtp1819665340-55] [] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
21:07:59.272 leos [qtp1819665340-55] [] WARN  com.vaadin.spring.internal.BeanStore - Storing non-serializable bean [eu.europa.ec.leos.ui.component.versions.VersionComparatorProposal@74ad2bdc] with name [versionComparatorProposal] in [ViewBeanStore[id=7d1ed067, name=null:memorandum]]
21:08:01.603 leos [qtp1819665340-55] [] WARN  e.e.e.l.w.s.e.DeadEventLogSubscriber - Dead event: eu.europa.ec.leos.ui.event.toc.TocResizedEvent@6996e1f3
21:08:01.603 leos [qtp1819665340-55] [] WARN  e.e.e.l.w.s.e.DeadEventLogSubscriber - Dead event: eu.europa.ec.leos.ui.event.toc.TocResizedEvent@1fce7566
21:08:11.787 leos [qtp1819665340-47] [] INFO  e.e.e.l.u.c.versions.VersionsTab - Download streamResource come for documentId 109, request was done for 109
